Media,Model,Treatment,Initial Density,Days of incubation,E. huxleyi per mL
f/2,Virulent lytic-only,Preinfected with added viruses,to the third,6,49
f/2,Virulent lytic-only,Preinfected with added viruses,to the fourth,6,494
f/2,Virulent lytic-only,Preinfected with added viruses,to the fifth,6,4941
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the first,6,3751
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the second,6,37570
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the third,6,340083
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the fourth,6,59523
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the fifth,6,5493
f/2,Temperate with phenomenological induction,Uninfected,to the first,6,3751
f/2,Temperate with phenomenological induction,Uninfected,to the second,6,37570
f/2,Temperate with phenomenological induction,Uninfected,to the third,6,340090
f/2,Temperate with phenomenological induction,Uninfected,to the fourth,6,2149487
f/2,Temperate with phenomenological induction,Uninfected,to the fifth,6,5044575
f/2,Temperate with phenomenological induction,Preinfected,to the first,6,3751
f/2,Temperate with phenomenological induction,Preinfected,to the second,6,37570
f/2,Temperate with phenomenological induction,Preinfected,to the third,6,340087
f/2,Temperate with phenomenological induction,Preinfected,to the fourth,6,71301
f/2,Temperate with phenomenological induction,Preinfected,to the fifth,6,4942
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the first,6,3751
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the second,6,37570
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the third,6,339916
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the fourth,6,50696
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the fifth,6,4941
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the first,7,9390
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the second,7,93624
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the third,7,28576
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the fourth,7,3602
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the fifth,7,3349
f/2,Temperate with autophagy-triggered induction,Uninfected,to the first,7,9390
f/2,Temperate with autophagy-triggered induction,Uninfected,to the second,7,93659
f/2,Temperate with autophagy-triggered induction,Uninfected,to the third,7,772681
f/2,Temperate with autophagy-triggered induction,Uninfected,to the fourth,7,3454703
f/2,Temperate with autophagy-triggered induction,Uninfected,to the fifth,7,5715251
f/2,Temperate with autophagy-triggered induction,Preinfected,to the first,7,9390
f/2,Temperate with autophagy-triggered induction,Preinfected,to the second,7,93221
f/2,Temperate with autophagy-triggered induction,Preinfected,to the third,7,30159
f/2,Temperate with autophagy-triggered induction,Preinfected,to the fourth,7,4568
f/2,Temperate with autophagy-triggered induction,Preinfected,to the fifth,7,3012
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the first,7,9390
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the second,7,66210
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the third,7,8261
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the fourth,7,1406
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the fifth,7,3012
f/2,Virulent lytic-only,10:1 Co-incubation,to the first,7,9342
f/2,Virulent lytic-only,10:1 Co-incubation,to the second,7,20695
f/2,Virulent lytic-only,10:1 Co-incubation,to the third,7,2215
f/2,Virulent lytic-only,10:1 Co-incubation,to the fourth,7,725
f/2,Virulent lytic-only,10:1 Co-incubation,to the fifth,7,3349
f/2,Virulent lytic-only,Uninfected,to the first,7,9390
f/2,Virulent lytic-only,Uninfected,to the second,7,93659
f/2,Virulent lytic-only,Uninfected,to the third,7,772681
f/2,Virulent lytic-only,Uninfected,to the fourth,7,3454703
f/2,Virulent lytic-only,Uninfected,to the fifth,7,5715251
f/2,Virulent lytic-only,Preinfected,to the first,7,2
f/2,Virulent lytic-only,Preinfected,to the second,7,20
f/2,Virulent lytic-only,Preinfected,to the third,7,40
f/2,Virulent lytic-only,Preinfected,to the fourth,7,301
f/2,Virulent lytic-only,Preinfected,to the fifth,7,3012
f/2,Virulent lytic-only,Preinfected with added viruses,to the first,7,0
f/2,Virulent lytic-only,Preinfected with added viruses,to the second,7,3
f/2,Virulent lytic-only,Preinfected with added viruses,to the third,7,30
f/2,Virulent lytic-only,Preinfected with added viruses,to the fourth,7,301
f/2,Virulent lytic-only,Preinfected with added viruses,to the fifth,7,3012
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the first,7,9390
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the second,7,93659
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the third,7,346699
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the fourth,7,36283
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the fifth,7,3349
f/2,Temperate with phenomenological induction,Uninfected,to the first,7,9390
f/2,Temperate with phenomenological induction,Uninfected,to the second,7,93659
f/2,Temperate with phenomenological induction,Uninfected,to the third,7,772681
f/2,Temperate with phenomenological induction,Uninfected,to the fourth,7,3454703
f/2,Temperate with phenomenological induction,Uninfected,to the fifth,7,5715251
f/2,Temperate with phenomenological induction,Preinfected,to the first,7,9390
f/2,Temperate with phenomenological induction,Preinfected,to the second,7,93659
f/2,Temperate with phenomenological induction,Preinfected,to the third,7,384260
f/2,Temperate with phenomenological induction,Preinfected,to the fourth,7,43463
f/2,Temperate with phenomenological induction,Preinfected,to the fifth,7,3012
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the first,7,9390
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the second,7,93659
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the third,7,248883
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the fourth,7,30902
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the fifth,7,3012
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the first,8,23061
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the second,8,208393
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the third,8,17711
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the fourth,8,2453
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the fifth,8,2041
f/2,Temperate with autophagy-triggered induction,Uninfected,to the first,8,23061
f/2,Temperate with autophagy-triggered induction,Uninfected,to the second,8,226734
f/2,Temperate with autophagy-triggered induction,Uninfected,to the third,8,1583438
f/2,Temperate with autophagy-triggered induction,Uninfected,to the fourth,8,4648208
f/2,Temperate with autophagy-triggered induction,Uninfected,to the fifth,8,6101301
f/2,Temperate with autophagy-triggered induction,Preinfected,to the first,8,23061
f/2,Temperate with autophagy-triggered induction,Preinfected,to the second,8,135301
f/2,Temperate with autophagy-triggered induction,Preinfected,to the third,8,18735
f/2,Temperate with autophagy-triggered induction,Preinfected,to the fourth,8,3129
f/2,Temperate with autophagy-triggered induction,Preinfected,to the fifth,8,1836
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the first,8,23061
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the second,8,42815
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the third,8,5663
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the fourth,8,890
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the fifth,8,1836
f/2,Virulent lytic-only,10:1 Co-incubation,to the first,8,22808
f/2,Virulent lytic-only,10:1 Co-incubation,to the second,8,12617
f/2,Virulent lytic-only,10:1 Co-incubation,to the third,8,1350
f/2,Virulent lytic-only,10:1 Co-incubation,to the fourth,8,442
f/2,Virulent lytic-only,10:1 Co-incubation,to the fifth,8,2041
f/2,Virulent lytic-only,Uninfected,to the first,8,23061
f/2,Virulent lytic-only,Uninfected,to the second,8,226734
f/2,Virulent lytic-only,Uninfected,to the third,8,1583438
f/2,Virulent lytic-only,Uninfected,to the fourth,8,4648208
f/2,Virulent lytic-only,Uninfected,to the fifth,8,6101301
f/2,Virulent lytic-only,Preinfected,to the first,8,6
f/2,Virulent lytic-only,Preinfected,to the second,8,42
f/2,Virulent lytic-only,Preinfected,to the third,8,36
f/2,Virulent lytic-only,Preinfected,to the fourth,8,184
f/2,Virulent lytic-only,Preinfected,to the fifth,8,1836
f/2,Virulent lytic-only,Preinfected with added viruses,to the first,8,0
f/2,Virulent lytic-only,Preinfected with added viruses,to the second,8,2
f/2,Virulent lytic-only,Preinfected with added viruses,to the third,8,18
f/2,Virulent lytic-only,Preinfected with added viruses,to the fourth,8,184
f/2,Virulent lytic-only,Preinfected with added viruses,to the fifth,8,1836
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the first,8,23061
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the second,8,226734
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the third,8,211335
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the fourth,8,22117
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the fifth,8,2041
f/2,Temperate with phenomenological induction,Uninfected,to the first,8,23061
f/2,Temperate with phenomenological induction,Uninfected,to the second,8,226734
f/2,Temperate with phenomenological induction,Uninfected,to the third,8,1583438
f/2,Temperate with phenomenological induction,Uninfected,to the fourth,8,4648208
f/2,Temperate with phenomenological induction,Uninfected,to the fifth,8,6101301
f/2,Temperate with phenomenological induction,Preinfected,to the first,8,23061
f/2,Temperate with phenomenological induction,Preinfected,to the second,8,226734
f/2,Temperate with phenomenological induction,Preinfected,to the third,8,234231
f/2,Temperate with phenomenological induction,Preinfected,to the fourth,8,26493
f/2,Temperate with phenomenological induction,Preinfected,to the fifth,8,1836
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the first,8,23061
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the second,8,226734
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the third,8,151710
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the fourth,8,18837
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the fifth,8,1836
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the first,9,56944
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the second,9,134460
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the third,9,10921
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the fourth,9,1641
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the fifth,9,1226
f/2,Temperate with autophagy-triggered induction,Uninfected,to the first,9,56944
f/2,Temperate with autophagy-triggered induction,Uninfected,to the second,9,537865
f/2,Temperate with autophagy-triggered induction,Uninfected,to the third,9,2828370
f/2,Temperate with autophagy-triggered induction,Uninfected,to the fourth,9,5496149
f/2,Temperate with autophagy-triggered induction,Uninfected,to the fifth,9,6308186
f/2,Temperate with autophagy-triggered induction,Preinfected,to the first,9,56930
f/2,Temperate with autophagy-triggered induction,Preinfected,to the second,9,81305
f/2,Temperate with autophagy-triggered induction,Preinfected,to the third,9,11591
f/2,Temperate with autophagy-triggered induction,Preinfected,to the fourth,9,2107
f/2,Temperate with autophagy-triggered induction,Preinfected,to the fifth,9,1103
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the first,9,56645
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the second,9,26361
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the third,9,3815
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the fourth,9,555
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the fifth,9,1103
f/2,Virulent lytic-only,10:1 Co-incubation,to the first,9,49002
f/2,Virulent lytic-only,10:1 Co-incubation,to the second,9,7576
f/2,Virulent lytic-only,10:1 Co-incubation,to the third,9,811
f/2,Virulent lytic-only,10:1 Co-incubation,to the fourth,9,265
f/2,Virulent lytic-only,10:1 Co-incubation,to the fifth,9,1226
f/2,Virulent lytic-only,Uninfected,to the first,9,56944
f/2,Virulent lytic-only,Uninfected,to the second,9,537865
f/2,Virulent lytic-only,Uninfected,to the third,9,2828370
f/2,Virulent lytic-only,Uninfected,to the fourth,9,5496149
f/2,Virulent lytic-only,Uninfected,to the fifth,9,6308186
f/2,Virulent lytic-only,Preinfected,to the first,9,13
f/2,Virulent lytic-only,Preinfected,to the second,9,98
f/2,Virulent lytic-only,Preinfected,to the third,9,44
f/2,Virulent lytic-only,Preinfected,to the fourth,9,110
f/2,Virulent lytic-only,Preinfected,to the fifth,9,1103
f/2,Virulent lytic-only,Preinfected with added viruses,to the first,9,0
f/2,Virulent lytic-only,Preinfected with added viruses,to the second,9,1
f/2,Virulent lytic-only,Preinfected with added viruses,to the third,9,11
f/2,Virulent lytic-only,Preinfected with added viruses,to the fourth,9,110
f/2,Virulent lytic-only,Preinfected with added viruses,to the fifth,9,1103
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the first,9,56944
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the second,9,537864
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the third,9,126904
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the fourth,9,13281
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the fifth,9,1226
f/2,Temperate with phenomenological induction,Uninfected,to the first,9,56944
f/2,Temperate with phenomenological induction,Uninfected,to the second,9,537865
f/2,Temperate with phenomenological induction,Uninfected,to the third,9,2828370
f/2,Temperate with phenomenological induction,Uninfected,to the fourth,9,5496149
f/2,Temperate with phenomenological induction,Uninfected,to the fifth,9,6308186
f/2,Temperate with phenomenological induction,Preinfected,to the first,9,56944
f/2,Temperate with phenomenological induction,Preinfected,to the second,9,537865
f/2,Temperate with phenomenological induction,Preinfected,to the third,9,140653
f/2,Temperate with phenomenological induction,Preinfected,to the fourth,9,15909
f/2,Temperate with phenomenological induction,Preinfected,to the fifth,9,1103
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the first,9,56944
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the second,9,537553
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the third,9,91100
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the fourth,9,11311
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the fifth,9,1103
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the first,10,133540
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the second,10,81966
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the third,10,6918
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the fourth,10,1104
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the fifth,10,747
f/2,Temperate with autophagy-triggered induction,Uninfected,to the first,10,133540
f/2,Temperate with autophagy-triggered induction,Uninfected,to the second,10,1152126
f/2,Temperate with autophagy-triggered induction,Uninfected,to the third,10,4139647
f/2,Temperate with autophagy-triggered induction,Uninfected,to the fourth,10,5980180
f/2,Temperate with autophagy-triggered induction,Uninfected,to the fifth,10,6407280
f/2,Temperate with autophagy-triggered induction,Preinfected,to the first,10,133494
f/2,Temperate with autophagy-triggered induction,Preinfected,to the second,10,49599
f/2,Temperate with autophagy-triggered induction,Preinfected,to the third,10,7374
f/2,Temperate with autophagy-triggered induction,Preinfected,to the fourth,10,1427
f/2,Temperate with autophagy-triggered induction,Preinfected,to the fifth,10,672
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the first,10,119019
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the second,10,16665
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the third,10,2584
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the fourth,10,350
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the fifth,10,672
f/2,Virulent lytic-only,10:1 Co-incubation,to the first,10,36415
f/2,Virulent lytic-only,10:1 Co-incubation,to the second,10,4618
f/2,Virulent lytic-only,10:1 Co-incubation,to the third,10,494
f/2,Virulent lytic-only,10:1 Co-incubation,to the fourth,10,162
f/2,Virulent lytic-only,10:1 Co-incubation,to the fifth,10,747
f/2,Virulent lytic-only,Uninfected,to the first,10,133540
f/2,Virulent lytic-only,Uninfected,to the second,10,1152126
f/2,Virulent lytic-only,Uninfected,to the third,10,4139647
f/2,Virulent lytic-only,Uninfected,to the fourth,10,5980180
f/2,Virulent lytic-only,Uninfected,to the fifth,10,6407280
f/2,Virulent lytic-only,Preinfected,to the first,10,31
f/2,Virulent lytic-only,Preinfected,to the second,10,228
f/2,Virulent lytic-only,Preinfected,to the third,10,70
f/2,Virulent lytic-only,Preinfected,to the fourth,10,67
f/2,Virulent lytic-only,Preinfected,to the fifth,10,672
f/2,Virulent lytic-only,Preinfected with added viruses,to the first,10,0
f/2,Virulent lytic-only,Preinfected with added viruses,to the second,10,1
f/2,Virulent lytic-only,Preinfected with added viruses,to the third,10,7
f/2,Virulent lytic-only,Preinfected with added viruses,to the fourth,10,67
f/2,Virulent lytic-only,Preinfected with added viruses,to the fifth,10,672
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the first,10,133540
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the second,10,633710
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the third,10,77356
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the fourth,10,8095
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the fifth,10,747
f/2,Temperate with phenomenological induction,Uninfected,to the first,10,133540
f/2,Temperate with phenomenological induction,Uninfected,to the second,10,1152126
f/2,Temperate with phenomenological induction,Uninfected,to the third,10,4139647
f/2,Temperate with phenomenological induction,Uninfected,to the fourth,10,5980180
f/2,Temperate with phenomenological induction,Uninfected,to the fifth,10,6407280
f/2,Temperate with phenomenological induction,Preinfected,to the first,10,133540
f/2,Temperate with phenomenological induction,Preinfected,to the second,10,652556
f/2,Temperate with phenomenological induction,Preinfected,to the third,10,85737
f/2,Temperate with phenomenological induction,Preinfected,to the fourth,10,9697
f/2,Temperate with phenomenological induction,Preinfected,to the fifth,10,672
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the first,10,133540
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the second,10,403945
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the third,10,55531
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the fourth,10,6895
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the fifth,10,672
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the first,11,303029
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the second,11,49967
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the third,11,4453
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the fourth,11,738
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the fifth,11,455
f/2,Temperate with autophagy-triggered induction,Uninfected,to the first,11,303031
f/2,Temperate with autophagy-triggered induction,Uninfected,to the second,11,2183301
f/2,Temperate with autophagy-triggered induction,Uninfected,to the third,11,5173699
f/2,Temperate with autophagy-triggered induction,Uninfected,to the fourth,11,6241789
f/2,Temperate with autophagy-triggered induction,Uninfected,to the fifth,11,6455541
f/2,Temperate with autophagy-triggered induction,Preinfected,to the first,11,302917
f/2,Temperate with autophagy-triggered induction,Preinfected,to the second,11,30272
f/2,Temperate with autophagy-triggered induction,Preinfected,to the third,11,4772
f/2,Temperate with autophagy-triggered induction,Preinfected,to the fourth,11,960
f/2,Temperate with autophagy-triggered induction,Preinfected,to the fifth,11,410
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the first,11,79612
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the second,11,10702
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the third,11,1740
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the fourth,11,221
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the fifth,11,410
f/2,Virulent lytic-only,10:1 Co-incubation,to the first,11,22198
f/2,Virulent lytic-only,10:1 Co-incubation,to the second,11,2815
f/2,Virulent lytic-only,10:1 Co-incubation,to the third,11,301
f/2,Virulent lytic-only,10:1 Co-incubation,to the fourth,11,99
f/2,Virulent lytic-only,10:1 Co-incubation,to the fifth,11,455
f/2,Virulent lytic-only,Uninfected,to the first,11,303031
f/2,Virulent lytic-only,Uninfected,to the second,11,2183301
f/2,Virulent lytic-only,Uninfected,to the third,11,5173699
f/2,Virulent lytic-only,Uninfected,to the fourth,11,6241789
f/2,Virulent lytic-only,Uninfected,to the fifth,11,6455541
f/2,Virulent lytic-only,Preinfected,to the first,11,73
f/2,Virulent lytic-only,Preinfected,to the second,11,527
f/2,Virulent lytic-only,Preinfected,to the third,11,125
f/2,Virulent lytic-only,Preinfected,to the fourth,11,41
f/2,Virulent lytic-only,Preinfected,to the fifth,11,410
f/2,Virulent lytic-only,Preinfected with added viruses,to the first,11,0
f/2,Virulent lytic-only,Preinfected with added viruses,to the second,11,0
f/2,Virulent lytic-only,Preinfected with added viruses,to the third,11,4
f/2,Virulent lytic-only,Preinfected with added viruses,to the fourth,11,41
f/2,Virulent lytic-only,Preinfected with added viruses,to the fifth,11,410
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the first,11,303031
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the second,11,386287
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the third,11,47153
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the fourth,11,4935
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the fifth,11,455
f/2,Temperate with phenomenological induction,Uninfected,to the first,11,303031
f/2,Temperate with phenomenological induction,Uninfected,to the second,11,2183301
f/2,Temperate with phenomenological induction,Uninfected,to the third,11,5173699
f/2,Temperate with phenomenological induction,Uninfected,to the fourth,11,6241789
f/2,Temperate with phenomenological induction,Uninfected,to the fifth,11,6455541
f/2,Temperate with phenomenological induction,Preinfected,to the first,11,303031
f/2,Temperate with phenomenological induction,Preinfected,to the second,11,397774
f/2,Temperate with phenomenological induction,Preinfected,to the third,11,52262
f/2,Temperate with phenomenological induction,Preinfected,to the fourth,11,5911
f/2,Temperate with phenomenological induction,Preinfected,to the fifth,11,410
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the first,11,303031
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the second,11,246230
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the third,11,33850
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the fourth,11,4203
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the fifth,11,410
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the first,12,669329
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the second,12,30009
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the third,12,2883
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the fourth,12,485
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the fifth,12,273
f/2,Temperate with autophagy-triggered induction,Uninfected,to the first,12,669332
f/2,Temperate with autophagy-triggered induction,Uninfected,to the second,12,3541424
f/2,Temperate with autophagy-triggered induction,Uninfected,to the third,12,5828137
f/2,Temperate with autophagy-triggered induction,Uninfected,to the fourth,12,6377241
f/2,Temperate with autophagy-triggered induction,Uninfected,to the fifth,12,6479236
f/2,Temperate with autophagy-triggered induction,Preinfected,to the first,12,669085
f/2,Temperate with autophagy-triggered induction,Preinfected,to the second,12,18217
f/2,Temperate with autophagy-triggered induction,Preinfected,to the third,12,3107
f/2,Temperate with autophagy-triggered induction,Preinfected,to the fourth,12,634
f/2,Temperate with autophagy-triggered induction,Preinfected,to the fifth,12,246
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the first,12,47881
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the second,12,6911
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the third,12,1150
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the fourth,12,137
f/2,Temperate with autophagy-triggered induction,Preinfected with added viruses,to the fifth,12,246
f/2,Virulent lytic-only,10:1 Co-incubation,to the first,12,13329
f/2,Virulent lytic-only,10:1 Co-incubation,to the second,12,1690
f/2,Virulent lytic-only,10:1 Co-incubation,to the third,12,181
f/2,Virulent lytic-only,10:1 Co-incubation,to the fourth,12,59
f/2,Virulent lytic-only,10:1 Co-incubation,to the fifth,12,273
f/2,Virulent lytic-only,Uninfected,to the first,12,669332
f/2,Virulent lytic-only,Uninfected,to the second,12,3541424
f/2,Virulent lytic-only,Uninfected,to the third,12,5828137
f/2,Virulent lytic-only,Uninfected,to the fourth,12,6377241
f/2,Virulent lytic-only,Uninfected,to the fifth,12,6479236
f/2,Virulent lytic-only,Preinfected,to the first,12,171
f/2,Virulent lytic-only,Preinfected,to the second,12,1229
f/2,Virulent lytic-only,Preinfected,to the third,12,241
f/2,Virulent lytic-only,Preinfected,to the fourth,12,25
f/2,Virulent lytic-only,Preinfected,to the fifth,12,246
f/2,Virulent lytic-only,Preinfected with added viruses,to the first,12,0
f/2,Virulent lytic-only,Preinfected with added viruses,to the second,12,0
f/2,Virulent lytic-only,Preinfected with added viruses,to the third,12,2
f/2,Virulent lytic-only,Preinfected with added viruses,to the fourth,12,25
f/2,Virulent lytic-only,Preinfected with added viruses,to the fifth,12,246
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the first,12,669331
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the second,12,231960
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the third,12,28315
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the fourth,12,2963
f/2,Temperate with phenomenological induction,10:1 Co-incubation,to the fifth,12,273
f/2,Temperate with phenomenological induction,Uninfected,to the first,12,669332
f/2,Temperate with phenomenological induction,Uninfected,to the second,12,3541424
f/2,Temperate with phenomenological induction,Uninfected,to the third,12,5828137
f/2,Temperate with phenomenological induction,Uninfected,to the fourth,12,6377241
f/2,Temperate with phenomenological induction,Uninfected,to the fifth,12,6479236
f/2,Temperate with phenomenological induction,Preinfected,to the first,12,669331
f/2,Temperate with phenomenological induction,Preinfected,to the second,12,238859
f/2,Temperate with phenomenological induction,Preinfected,to the third,12,31383
f/2,Temperate with phenomenological induction,Preinfected,to the fourth,12,3550
f/2,Temperate with phenomenological induction,Preinfected,to the fifth,12,246
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the first,12,668982
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the second,12,147858
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the third,12,20326
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the fourth,12,2524
f/2,Temperate with phenomenological induction,Preinfected with added viruses,to the fifth,12,246
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the first,13,1333408
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the second,13,18296
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the third,13,1927
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the fourth,13,321
f/2,Temperate with autophagy-triggered induction,10:1 Co-incubation,to the fifth,13,167
f/2,Temperate with autophagy-triggered induction,Uninfected,to the first,13,1333412
f/2,Temperate with autophagy-triggered induction,Uninfected,to the second,13,4750166
f/2,Temperate with autophagy-triggered induction,Uninfected,to the third,13,6164995
f/2,Temperate with autophagy-triggered induction,Uninfected,to the fourth,13,6440994
f/2,Temperate with autophagy-triggered induction,Uninfected,to the fifth,13,6490102
f/2,Temperate with autophagy-triggered induction,Preinfected,to the first,13,1332970
f/2,Temperate with autophagy-triggered induction,Preinfected,to the second,13,11142
